Molecule,Name,Dipole,SMILES
C2H3Cl,"Ethene, chloro-",1.450,C=CCl
CH3OCl,methyl hypochlorite,1.788,COCl
CHClCHCl,"Ethene, 1,2-dichloro-, (Z)-",1.900,Cl/C=C\Cl
CH2CCl2,"Ethene, 1,1-dichloro-",1.340,C=C(Cl)Cl
HClO4,perchloric acid,2.170,[O-][Cl+3]([O-])([O-])O
B2Cl4,Diboron tetrachloride,0.000,ClB(Cl)B(Cl)Cl
C2ClF3,"Ethene, chlorotrifluoro-",0.580,FC(F)=C(F)Cl
C2Cl4,Tetrachloroethylene,0.000,ClC(Cl)=C(Cl)Cl
PCl5,Phosphorus pentachloride,0.000,ClP(Cl)(Cl)(Cl)Cl
C2H3Br,vinyl bromide,1.420,C=CBr
BrF5,bromine pentafluoride,1.510,FBr(F)(F)(F)F
C2H3I,Vinyl iodide,1.311,C=CI
CH2CCH2,allene,0.000,C=C=C
CH3CCH,propyne,0.780,C#CC
C3H4,cyclopropene,0.454,C1=CC1
CH3NH2,methyl amine,1.310,
C3H3N,acrylonitrile,3.882,C=CC#N
CH3N3,methyl azide,2.170,CN=[N+]=[N-]
C3H2N2,Malononitrile,3.730,N#CCC#N
CH3CHO,Acetaldehyde,2.750,CC=O
C2H4O,Ethylene oxide,1.890,C1CO1
C2H3NO,Nitrosoethylene,2.770,C=CN=O
CH3ONO,Methyl nitrite,2.360,CON=O
CH3NO2,"Methane, nitro-",3.460,C[N+](=O)[O-]
C2H2N2O,Furazan,3.380,c1cnon1
CH3COF,Acetyl fluoride,2.960,CC(=O)F
CH3PH2,Methyl phosphine,1.100,CPH2
C2H4S,Thiirane,1.850,C1CS1
CH2CHSH,Ethenethiol,0.910,C=CS
CH3SSH,Hydrogen methyl disulfide,1.796,CSS
C2H2N2S,"1,3,4-Thiadiazole",3.280,c1nncs1
H2SO4,Sulfuric acid,2.725,O=S(=O)(O)O
SF6,Sulfur Hexafluoride,0.000,FS(F)(F)(F)(F)F
CH3COCl,Acetyl Chloride,2.720,CC(=O)Cl
C2H6,Ethane,0.000,CC
C2H3CCH,1-Buten-3-yne,0.224,C#CC=C
C2H5N,Aziridine,1.890,C1CN1
CH3CHNH,ethanimine,1.900,CC=N
NH2BHNH2,diaminoborane,1.245,N[B]N
